id,raw_description
1,SCHOLASTIC Percy Jackson Series - New Launch | Apply coupon FIRST500 | Sold by: RetailNet | Extra Rs.5000 on exchange of old device | INR 815 | Notify Me | Flat Rs.2000 Cashback with Axis Bank
2,"Gel-Nimbus 25 (ASICS) * Out of Stock * Flat Rs.2000 Cashback with Axis Bank * Sold by: Appario Retail * No Cost EMI available * Price: INR 19,942"
3,"OXFORD Oxford Advanced Learners Dictionary - Trending
Amazons Choice
Flat Rs.3000 OFF with Kotak Card
Price: INR 3,395
Sold by: RetailNet
In Stock
Express Delivery Available"
4,"Dell vostro 15
INR 199,530
Apply coupon FIRST500
EMI from Rs.999/month
8GB RAM 512GB SSD
Delivery in 3-5 Days
Out of Stock
Sold by: Prime Deals India"
5,"PUMA Puma Graphic Tee
Combo offer available
Extra 10% OFF on SBI Credit Card
Rs 7,838
Sold by: FastRetail
In Stock
Free Installation"
6,"pigeon pigeon joy rice cooker | Up to Rs.10000 off on exchange | INR5,579 | Rs.500 instant discount on IndusInd Card | Coupon: FESTIVE300 | Coming Soon | Sold by: TechnoMart India"
7,"Zara Wide Leg Trousers (Zara) | Limited Stock | Combo offer available | INR2,141 | Ships in 24 Hours | Sold by: Cocoblu Retail | Amazons Choice"
8,"Bajaj FX11 Mixer by Bajaj
Deal of the Day
Sold by: Appario Retail
Free Delivery
Limited Stock
EMI from Rs.999/month
Price: INR 14,772
Special Price
Coupon: FESTIVE300"
9,"Stealth 16 (MSI)
Get Rs.1500 back with Yes Bank Card
Ryzen 5 7520U
Easy EMI: Rs.1500/month for 12 months
49,389 only
Available
Sold by: Cloudtail India
Free Delivery"
10,"Yoga 9i (Lenovo)

233,154 only

Free Installation

8GB RAM 512GB SSD

Rs.500 instant discount on IndusInd Card

Out of Stock

Check pincode for delivery"
11,"Elara 3-Seater Sofa by Pepperfry

INR 141,164

Flat Rs.2000 Cashback with Axis Bank

Only 1 Left - Hurry!

Best Seller

Sold by: Appario Retail

Up to Rs.10000 off on exchange"
12,"Allen Solly Chinos by Allen Solly
Pre-order Now
Best Seller
Sold by: Cocoblu Retail
INR933
EMI from Rs.999/month
Extra 10% OFF on SBI Credit Card"
13,"Noise Shots X5 Pro by Noise | Pre-order Now | Rs.500 instant discount on IndusInd Card | Today only! | Now Rs.19,990 (Was Rs.20,896)"
14,"iQOO Z9 by iQOO
Free Installation
Pre-order Now
128GB White
Flat Rs.5000 OFF with HDFC Card
Extra Rs.5000 on exchange of old device
Sold by: TechnoMart India
INR 81,024"
